493.214,580.110,0.000,1.000
697.641,596.692,0.000,1.000
936.049,611.534,0.000,1.000
1068.981,740.469,0.000,1.000
1083.264,977.549,0.000,1.000
1044.830,1242.805,0.000,1.000
1035.229,1475.454,0.000,1.000
1146.831,1630.446,0.000,1.000
1374.077,1656.138,0.000,1.000
1520.609,1505.504,0.000,1.000
1597.604,1270.923,0.000,1.000
1629.842,1030.631,0.000,1.000
1595.379,823.885,-0.000,1.000
1473.673,688.248,-0.000,1.000
1274.158,635.753,-0.000,1.000
1031.936,656.571,0.000,1.000
782.939,740.168,0.000,1.000
563.099,876.009,0.000,1.000
408.347,1053.562,0.000,1.000
354.614,1262.290,0.000,1.000
