343.379,500.825,0.000,1.000
423.123,595.568,0.000,1.000
459.906,710.742,0.000,1.000
481.365,832.929,0.000,1.000
515.139,948.710,0.000,1.000
581.283,1048.650,0.000,1.000
655.954,1146.360,0.000,1.000
699.556,1263.713,0.000,1.000
719.149,1342.503,0.000,1.000
781.858,1273.956,0.000,1.000
879.685,1136.069,0.000,1.000
1000.069,1017.100,0.000,1.000
1126.440,981.492,0.000,1.000
1215.297,917.903,0.000,1.000
1287.323,815.035,0.000,1.000
1403.980,789.317,0.000,1.000
1530.835,840.961,0.000,1.000
1611.400,942.854,0.000,1.000
1589.184,1067.884,0.000,1.000
1407.698,1188.941,0.000,1.000
