303.867,271.414,215.906,0.700
65.453,674.316,199.424,0.700
77.254,854.664,134.298,0.700
241.739,910.854,97.360,0.700
461.377,941.279,103.196,0.700
639.109,1043.824,141.614,0.700
767.297,1218.857,138.353,0.700
926.287,1363.318,126.771,0.700
1102.816,1471.076,113.340,0.700
1335.555,1520.304,95.691,0.700
1413.063,1548.331,247.972,0.700
1202.823,1583.729,265.127,0.700
897.331,1582.502,-82.953,0.700
695.581,1499.787,-39.662,0.700
667.936,1331.038,12.472,0.700
767.583,1108.436,31.535,0.700
943.428,865.506,39.144,0.700
1144.376,635.772,42.828,0.700
1319.333,452.758,44.307,0.700
1417.203,349.990,39.411,0.700
