375.204,913.984,146.694,1.000
509.706,998.738,7.310,1.000
610.597,750.066,49.167,1.000
871.867,672.423,101.603,1.000
999.475,858.414,173.301,1.000
1061.439,1087.949,123.264,1.000
1293.656,1141.793,121.698,1.000
1481.746,1348.012,146.795,1.000
1613.346,1550.443,139.895,1.000
1704.397,1551.096,29.962,1.000
1752.732,1335.640,4.421,1.000
1743.943,1013.935,-7.134,1.000
1663.389,698.179,-23.775,1.000
1496.478,500.450,-64.236,1.000
1245.297,488.119,256.235,1.000
953.481,617.224,238.722,1.000
671.025,826.762,228.696,1.000
447.922,1055.731,218.991,1.000
334.167,1243.128,196.171,1.000
379.754,1327.949,95.313,1.000
